#,Designation,Asian white Cement,JK Cement,Emirates Steel Arkan,Union Cement Company
31,Packer Operator,"2,200 - 3,000","3,000 - 3,500","5,000 - 6,000","3,000 - 4,000"
32,Dy. Chief Engineer (Electrical),"18,000 - 20,000","22,000 - 25,000","20,000 - 25,000","18,000 - 22,000"
33,Engineer (Instrumentation),"5,500 - 6,500","8,000 - 10,000","13,000 - 15,000","12,000 - 16,000"
34,Junior Engineer (Instrumentation),"5,500 - 6,500","5,000 - 7,000",-,"8,000 - 11,000"
35,Technician,"3,000 - 3,500","3,000 - 4,500","5,000 - 6,000","4,000 - 6,000"
36,Electrician,"3,000 - 3,500","3,000 - 4,500","5,000 - 6,000","4,000 - 6,000"
37,Quality Control Manager,"18,000 - 20,000","25,000 - 30,000","25,000 - 30,000","18,000 - 24,000"
38,Chemist,"5,500 - 6,500","8,000 - 12,000","11,000 - 13,000","8,000 - 12,000"
39,Lab Technician,"3,500 - 4,000","4,500 - 6,500","8,000 - 9,000","4,000 - 6,000"
40,Tester / Gauger,"1,400","1,800","8,000 - 9,000","3,500 - 5,000"
41,Sample Boy,"1,400","1,800","3,000 - 4,000","2,500 - 3,500"
42,Procurement Manager,"8,000 - 10,000","15,000 - 20,000","20,000 - 25,000","18,000 - 24,000"
43,Procurement Executive,"5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","8,000 - 12,000"
44,Asst. Purchase Officer,"5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","6,000 - 8,000"
45,Purchase Agent,"5,000 - 6,000","7,000 - 9,000","12,000 - 13,000","4,000 - 6,000"
46,Weigh Bridge Operator,"2,000 - 2,500","2,500 - 3,000","7,000 - 8,000","3,000 - 4,000"
47,Assistant Stores Manager,-,"10,000 - 13,000",-,"8,000 - 10,000"
48,Stores Officer,"6,000 - 8,000","6,000 - 8,000","12,000 - 13,000","6,000 - 8,000"
49,Stores Assistant,-,"3,000 - 3,500","12,000 - 13,000","3,500 - 5,000"
50,Store House Man,-,"3,000 - 3,500",-,-
51,Head of Finance,"25,000 - 30,000","30,000 - 35,000","30,000 - 35,000","25,000 - 35,000"
52,Finance Co-Ordinator,-,-,-,-
53,Financial Analyst,"8,000 - 10,000","8,000 - 10,000","15,000 - 16,000","10,000 - 15,000"
54,Financial Accountant,"5,500 - 6,500","6,500 - 9,000","12,000 - 13,000","8,000 - 12,000"
55,Accountant,"5,500 - 6,500","6,500 - 9,000","12,000 - 13,000","6,000 - 9,000"
56,HR & Admin Manager,"10,000 - 13,000","25,000 - 30,000","30,000 - 35,000","18,000 - 25,000"
57,Deputy HR Manager,-,"8,000 - 10,000","20,000 - 25,000","14,000 - 18,000"
58,HR Executive,-,"6,000 - 8,000","10,000 - 12,000","6,000 - 9,000"
59,Admin Assistant,"4,000 - 5,000","5,000 - 6,000",-,"3,500 - 5,000"
60,Office Boy,"1,800 - 2,200","1,800 - 2,200","3,000 - 4,000","1,800 - 2,500"
61,Driver,"2,500 - 3,000","2,500 - 3,000","6,000 - 7,000","2,500 - 3,500"
62,Cook,-,-,-,-
63,House Keeping Attendant,"1,400","2,000",-,-
64,Gardener,"1,400","2,000",-,-
65,Security Manager,-,-,-,-
66,Asst. Security Manager,-,-,-,-
67,HSE Supervisor,"8,000 - 10,000","9,000 - 11,000","20,000 - 25,000","8,000 - 12,000"
68,HSE Officer,-,"5,000 - 6,000","10,000 - 12,000","6,000 - 9,000"
69,Security Supervisor,-,-,"7,000 - 8,000",-
70,Security Guard,-,-,-,-
71,First Aid,-,-,-,-
72,Assistant Sales Manager,"15,000 - 20,000","20,000 - 25,000","20,000 - 25,000","12,000 - 18,000"
73,Senior Sales & Logistics,"6,000 - 8,000","6,000 - 8,000","20,000 - 25,000","10,000 - 15,000"
74,Senior Engineer (Technical – Sales),"6,000 - 8,000","6,000 - 8,000",-,"14,000 - 20,000"
75,Sales Executive,"5,500 - 6,500","8,000 - 10,000","10,000 - 12,000","6,000 - 10,000"
76,Sales Co-Ordinator,-,-,-,"4,000 - 6,000"
77,Sales Administrative Assistant,-,-,"10,000 - 12,000","3,500 - 5,000"
78,Marketing Co-Ordinator,-,"5,000 - 6,000",-,"5,000 - 8,000"
79,Truck Driver -  Bulker,-,"3,500 - 4,000",-,-
80,Asst. Public Relation Officer,"7,000 - 10,000","10,000 - 12,000","10,000 - 12,000","6,000 - 8,000"
81,Asst. External Relationship Manager,-,-,-,"8,000 - 12,000"
82,Acting IT Manager,"8,000 - 10,000","10,000 - 12,000","20,000 - 25,000","14,000 - 20,000"
83,Junior IT Help Desk Support,-,-,"10,000 - 12,000","4,000 - 6,000"
84,Project Manager,-,-,-,-
85,Projects Coordinator,-,-,-,-
86,Plant Co-Ordinator,-,-,-,-
